source_site,location_code,location_name,location_type,faculty_or_area,building,notes
orar.usv.ro,E125,E125,room,,E,"ID: 485, Capacitate: 0"
orar.usv.ro,E222,E222,room,,E,"ID: 487, Capacitate: 0"
orar.usv.ro,H305,H305,room,,H,"ID: 488, Capacitate: 0"
orar.usv.ro,A017,Birou Scoala doctorala,room,,A,"ID: 489, Capacitate: 0"
orar.usv.ro,C408,C408,room,,C,"ID: 490, Capacitate: 0"
orar.usv.ro,C401a,Scoala Doctorala,room,,C,"ID: 491, Capacitate: 0"
orar.usv.ro,C402,C402,room,,C,"ID: 492, Capacitate: 0"
orar.usv.ro,C404,C404,room,,C,"ID: 493, Capacitate: 15"
orar.usv.ro,C401b,C401b,room,,C,"ID: 495, Capacitate: 15"
orar.usv.ro,A201,Birou Doctorat RN,room,,A,"ID: 497, Capacitate: 0"
orar.usv.ro,A010,Birou Doctorat MAD,room,,A,"ID: 498, Capacitate: 0"
orar.usv.ro,H107,H107,room,,H,"ID: 501, Capacitate: 0"
orar.usv.ro,S. Fitness,L104 - Sala Fitness,room,,A,"ID: 502, Capacitate: 0"
orar.usv.ro,B108 Lab Mecs+DS,B108 Laborator Mecanisme,laboratory,,B,"ID: 506, Capacitate: 0"
orar.usv.ro,B112 Lab MA+DA,B112 Laborator Mectr auto,laboratory,,B,"ID: 510, Capacitate: 0"
orar.usv.ro,H101,H101,room,,H,"ID: 512, Capacitate: 0"
orar.usv.ro,H201,H201,room,,H,"ID: 516, Capacitate: 0"
orar.usv.ro,A026,A026 - birou,room,,A,"ID: 519, Capacitate: 0"
orar.usv.ro,Restaurant,Restaurant USV,room,,Restaur,"ID: 520, Capacitate: 0"
orar.usv.ro,Aula E,Aula E,auditorium,,E,"ID: 521, Capacitate: 38"
orar.usv.ro,C409,C409,room,,C,"ID: 522, Capacitate: 0"
orar.usv.ro,ED022,ED022,room,,E,"ID: 524, Capacitate: 0"
orar.usv.ro,Aula,A. Aula,auditorium,,A,"ID: 525, Capacitate: 46"
orar.usv.ro,A002,Decanat FLSC A002,room,,A,"ID: 526, Capacitate: 0"
orar.usv.ro,E011A,E011A Secretariat FMSB,room,,E,"ID: 529, Capacitate: 0"
orar.usv.ro,C5-108,C5-108,room,,Camin,"ID: 530, Capacitate: 0"
orar.usv.ro,108,108,room,,Camin,"ID: 536, Capacitate: 0"
orar.usv.ro,INCUBAF,Incubator de afaceri,room,,Cămin,"ID: 537, Capacitate: 0"
orar.usv.ro,D102,D102,room,,D,"ID: 548, Capacitate: 0"
orar.usv.ro,E215,E215,room,,E,"ID: 549, Capacitate: 0"
orar.usv.ro,doar 4 nov,Sustinere teza doctorat,room,,D,"ID: 550, Capacitate: 0"
orar.usv.ro,C405,C405,room,,C,"ID: 554, Capacitate: 0"
orar.usv.ro,A003,Decanat,room,,A,"ID: 555, Capacitate: 0"
orar.usv.ro,A209,Birou,room,,A,"ID: 556, Capacitate: 0"
orar.usv.ro,Corp K,Corp K,room,,K,"ID: 557, Capacitate: 0"
orar.usv.ro,A016,A016 - birou,room,,A,"ID: 559, Capacitate: 0"
orar.usv.ro,E237,E237,room,,E,"ID: 560, Capacitate: 0"
orar.usv.ro,A009,A009 - birou,room,,A,"ID: 561, Capacitate: 0"
orar.usv.ro,C401d,C401d,room,,C,"ID: 562, Capacitate: 15"
orar.usv.ro,A210,Birou A210,room,,A,"ID: 563, Capacitate: 0"
orar.usv.ro,A027,A027 - birou,room,,A,"ID: 567, Capacitate: 0"
orar.usv.ro,J1,J1,room,,J,"ID: 570, Capacitate: 16"
orar.usv.ro,B206a Birou CD,B206a Birou CD,room,,B,"ID: 573, Capacitate: 0"
orar.usv.ro,B110,Birou 110,room,,B,"ID: 575, Capacitate: 0"
orar.usv.ro,E240,E240,room,,E,"ID: 577, Capacitate: 0"
orar.usv.ro,Auditorium,Auditorium,room,,F,"ID: 578, Capacitate: 0"
orar.usv.ro,E236,E236,room,,E,"ID: 582, Capacitate: 0"
orar.usv.ro,D104b,D104b,room,,D,"ID: 584, Capacitate: 0"
orar.usv.ro,SC,Sala Consiliu,room,,H,"ID: 587, Capacitate: 0"
orar.usv.ro,B206b,B206b,room,,B,"ID: 590, Capacitate: 0"
