location_key,display_name,location_type,building,is_online,is_external,source_reference,notes
a_7,Birou A 7 Doctorat Istorie,room,A,false,false,orar.usv.ro,"ID: 476, Capacitate: 0"
h202,H202,room,H,false,false,orar.usv.ro,"ID: 484, Capacitate: 0"
e125,E125,room,E,false,false,orar.usv.ro,"ID: 485, Capacitate: 0"
e222,E222,room,E,false,false,orar.usv.ro,"ID: 487, Capacitate: 0"
h305,H305,room,H,false,false,orar.usv.ro,"ID: 488, Capacitate: 0"
a017,Birou Scoala doctorala,room,A,false,false,orar.usv.ro,"ID: 489, Capacitate: 0"
c408,C408,room,C,false,false,orar.usv.ro,"ID: 490, Capacitate: 0"
c401a,Scoala Doctorala,room,C,false,false,orar.usv.ro,"ID: 491, Capacitate: 0"
c402,C402,room,C,false,false,orar.usv.ro,"ID: 492, Capacitate: 0"
c404,C404,room,C,false,false,orar.usv.ro,"ID: 493, Capacitate: 15"
c401b,C401b,room,C,false,false,orar.usv.ro,"ID: 495, Capacitate: 15"
a201,Birou Doctorat RN,room,A,false,false,orar.usv.ro,"ID: 497, Capacitate: 0"
a010,Birou Doctorat MAD,room,A,false,false,orar.usv.ro,"ID: 498, Capacitate: 0"
h107,H107,room,H,false,false,orar.usv.ro,"ID: 501, Capacitate: 0"
s._fitness,L104 - Sala Fitness,room,A,false,false,orar.usv.ro,"ID: 502, Capacitate: 0"
b108_lab_mecs+ds,B108 Laborator Mecanisme,laboratory,B,false,false,orar.usv.ro,"ID: 506, Capacitate: 0"
b112_lab_ma+da,B112 Laborator Mectr auto,laboratory,B,false,false,orar.usv.ro,"ID: 510, Capacitate: 0"
h101,H101,room,H,false,false,orar.usv.ro,"ID: 512, Capacitate: 0"
h201,H201,room,H,false,false,orar.usv.ro,"ID: 516, Capacitate: 0"
a026,A026 - birou,room,A,false,false,orar.usv.ro,"ID: 519, Capacitate: 0"
restaurant,Restaurant USV,room,Restaur,false,false,orar.usv.ro,"ID: 520, Capacitate: 0"
aula_e,Aula E,auditorium,E,false,false,orar.usv.ro,"ID: 521, Capacitate: 38"
c409,C409,room,C,false,false,orar.usv.ro,"ID: 522, Capacitate: 0"
ed022,ED022,room,E,false,false,orar.usv.ro,"ID: 524, Capacitate: 0"
aula,A. Aula,auditorium,A,false,false,orar.usv.ro,"ID: 525, Capacitate: 46"
a002,Decanat FLSC A002,room,A,false,false,orar.usv.ro,"ID: 526, Capacitate: 0"
e011a,E011A Secretariat FMSB,room,E,false,false,orar.usv.ro,"ID: 529, Capacitate: 0"
c5-108,C5-108,room,Camin,false,false,orar.usv.ro,"ID: 530, Capacitate: 0"
108,108,room,Camin,false,false,orar.usv.ro,"ID: 536, Capacitate: 0"
incubaf,Incubator de afaceri,room,Cămin,false,false,orar.usv.ro,"ID: 537, Capacitate: 0"
d102,D102,room,D,false,false,orar.usv.ro,"ID: 548, Capacitate: 0"
e215,E215,room,E,false,false,orar.usv.ro,"ID: 549, Capacitate: 0"
doar_4_nov,Sustinere teza doctorat,room,D,false,false,orar.usv.ro,"ID: 550, Capacitate: 0"
c405,C405,room,C,false,false,orar.usv.ro,"ID: 554, Capacitate: 0"
a003,Decanat,room,A,false,false,orar.usv.ro,"ID: 555, Capacitate: 0"
a209,Birou,room,A,false,false,orar.usv.ro,"ID: 556, Capacitate: 0"
corp_k,Corp K,room,K,false,false,orar.usv.ro,"ID: 557, Capacitate: 0"
a016,A016 - birou,room,A,false,false,orar.usv.ro,"ID: 559, Capacitate: 0"
e237,E237,room,E,false,false,orar.usv.ro,"ID: 560, Capacitate: 0"
a009,A009 - birou,room,A,false,false,orar.usv.ro,"ID: 561, Capacitate: 0"
c401d,C401d,room,C,false,false,orar.usv.ro,"ID: 562, Capacitate: 15"
a210,Birou A210,room,A,false,false,orar.usv.ro,"ID: 563, Capacitate: 0"
a027,A027 - birou,room,A,false,false,orar.usv.ro,"ID: 567, Capacitate: 0"
j1,J1,room,J,false,false,orar.usv.ro,"ID: 570, Capacitate: 16"
b206a_birou_cd,B206a Birou CD,room,B,false,false,orar.usv.ro,"ID: 573, Capacitate: 0"
b110,Birou 110,room,B,false,false,orar.usv.ro,"ID: 575, Capacitate: 0"
e240,E240,room,E,false,false,orar.usv.ro,"ID: 577, Capacitate: 0"
auditorium,Auditorium,room,F,false,false,orar.usv.ro,"ID: 578, Capacitate: 0"
e236,E236,room,E,false,false,orar.usv.ro,"ID: 582, Capacitate: 0"
d104b,D104b,room,D,false,false,orar.usv.ro,"ID: 584, Capacitate: 0"
sc,Sala Consiliu,room,H,false,false,orar.usv.ro,"ID: 587, Capacitate: 0"
b206b,B206b,room,B,false,false,orar.usv.ro,"ID: 590, Capacitate: 0"
a032,A032,room,A,false,false,orar.usv.ro,"ID: 592, Capacitate: 0"
e239,E239,room,,false,false,orar.usv.ro,"ID: 593, Capacitate: 0"
pb3,P.Bucovina 3,room,PB,false,false,orar.usv.ro,"ID: 594, Capacitate: 0"
